0 1 2
2 60 76
85 15 76
25 54 76
87 76 76
48 86 76
73 63 76
42 85 76
0 84 77
10 70 77
19 98 77
87 69 77
72 8 77
32 7 77
36 96 78
8 22 78
52 22 78
59 24 78
33 53 78
51 8 78
80 4 78
84 98 78
47 35 78
36 24 79
16 76 79
16 18 79
1 91 79
6 20 79
80 56 79
30 61 79
72 67 80
57 98 80
75 78 80
42 5 80
36 35 81
85 39 81
5 64 81
72 22 81
95 24 82
12 68 82
65 4 82
15 73 82
13 59 82
77 43 82
63 76 82
47 81 82
83 95 83
83 43 83
49 64 83
0 62 84
12 47 84
37 77 84
4 86 84
51 64 84
20 74 84
1 55 84
80 77 84
30 92 84
28 68 85
34 93 85
66 63 85
5 61 85
87 14 85
77 54 85
42 27 85
92 45 86
56 90 86
57 3 86
51 91 86
93 2 87
34 7 87
33 47 87
30 14 87
4 59 88
11 57 88
73 74 88
0 21 89
12 58 89
12 39 89
12 6 89
19 43 89
27 8 89
75 69 89
16 38 89
51 36 89
36 26 90
52 97 90
25 18 90
13 16 90
17 26 90
2 20 91
25 81 91
13 44 91
51 42 91
73 68 91
36 94 92
43 66 92
19 98 92
57 99 92
51 12 92
73 71 92
8 96 93
59 99 93
56 53 93
46 75 93
60 93 93
75 3 93
29 73 93
83 18 93
1 16 93
11 18 93
32 60 93
28 13 94
18 93 94
0 22 94
10 57 94
59 69 94
14 50 94
9 57 94
35 15 94
42 23 94
21 72 95
66 43 95
46 13 95
60 80 95
1 56 95
30 11 95
50 7 96
37 68 96
22 2 96
8 63 97
60 6 97
6 8 97
10 52 98
14 65 98
46 69 98
39 40 98
63 2 98
8 13 99
43 36 99
11 22 99
63 44 99
10 57 100
34 22 100
56 76 100
46 24 100
37 61 100
60 61 100
54 24 100
40 13 100
20 85 100
80 10 100
41 40 101
22 81 101
42 16 101
43 12 102
44 78 102
16 46 102
39 84 102
61 23 102
56 48 103
51 30 103
9 6 103
34 0 104
66 88 104
59 45 104
40 11 104
1 77 104
30 0 104
10 19 105
66 56 105
80 2 105
84 14 105
0 56 106
52 4 106
40 97 106
22 24 106
73 80 106
32 50 106
52 23 107
40 6 107
42 37 107
50 44 108
8 32 108
44 24 108
77 56 108
20 28 108
22 3 108
5 1 109
4 44 109
77 38 109
39 82 109
22 40 109
52 67 110
43 87 110
85 59 110
44 69 110
33 35 110
56 26 110
16 80 110
4 48 110
77 98 110
39 96 110
30 12 110
30 83 110
19 14 111
15 37 111
27 18 111
27 20 111
87 37 111
60 17 112
13 20 112
35 49 112
1 93 112
36 85 113
36 4 113
0 18 113
12 41 113
85 26 113
33 38 113
14 7 113
22 14 113
63 50 113
36 19 114
8 6 114
12 86 114
13 58 114
77 51 114
40 97 114
6 22 114
80 8 114
43 39 115
85 11 115
19 42 115
5 61 115
27 53 115
87 22 115
35 23 115
30 6 115
32 64 115
2 50 116
15 8 116
51 46 116
17 16 116
83 91 116
83 54 116
85 29 117
87 59 117
30 38 117
47 99 117
86 24 118
59 3 118
14 84 118
56 58 118
37 14 118
54 50 118
77 33 118
9 18 118
59 30 119
59 42 119
17 80 119
39 66 119
35 47 119
73 47 119
0 40 120
10 80 120
46 84 120
61 78 120
8 74 121
92 77 121
87 0 121
61 15 121
84 88 121
32 85 121
25 45 122
46 83 122
87 63 122
77 79 122
17 80 122
49 99 122
12 88 123
46 28 123
16 52 123
22 57 123
47 18 123
34 85 124
16 67 124
1 98 124
11 71 124
61 85 124
8 47 125
17 15 125
73 85 125
34 50 126
66 68 126
2 93 126
25 49 126
22 73 126
10 39 127
34 8 127
65 31 127
25 55 127
14 63 127
15 86 127
51 75 127
55 48 127
1 65 127
1 2 127
44 41 128
15 67 128
55 53 128
61 4 128
57 97 129
16 41 129
77 10 129
6 49 129
30 70 129
42 33 129
8 47 130
34 17 130
52 17 130
2 99 130
72 2 130
83 5 130
15 71 131
11 44 131
30 32 131
72 54 132
9 21 132
20 89 132
84 53 132
30 85 132
25 85 133
4 41 133
47 86 133
97 28 134
43 90 134
14 86 134
29 28 134
39 6 134
30 82 134
10 12 135
66 48 135
35 4 135
30 52 135
47 97 135
65 24 136
44 77 136
4 65 136
49 2 136
10 25 137
34 24 137
65 19 137
56 6 137
60 70 137
60 56 137
20 72 137
84 48 137
84 83 137
56 38 138
15 52 138
5 87 138
37 42 138
49 35 138
42 37 138
16 64 139
55 17 139
10 49 140
37 27 140
16 37 140
25 95 141
25 4 141
27 6 141
13 80 141
30 2 141
0 30 142
59 36 142
87 27 142
75 84 142
40 80 142
1 28 142
14 9 143
57 12 143
57 9 143
57 30 143
60 57 143
18 5 144
48 50 144
37 9 144
75 45 144
17 94 144
39 18 144
9 22 144
20 3 144
11 57 145
80 88 145
47 0 145
42 92 145
95 37 146
12 17 146
72 85 146
37 43 146
17 33 146
61 28 146
30 15 146
10 34 147
33 31 147
15 81 147
46 94 147
48 93 147
50 0 148
19 57 148
48 93 148
13 32 148
16 48 148
22 2 148
80 70 148
8 64 149
0 58 149
34 42 149
66 72 149
44 89 149
87 5 149
72 19 149
47 92 149
47 44 149
0 1 150
10 97 150
2 36 150
85 16 150
46 80 150
27 66 150
37 46 150
54 38 150
13 4 150
22 97 150
30 23 150
57 28 151
37 90 151
54 41 151
29 93 151
22 5 151
64 33 152
2 17 152
85 92 152
60 76 152
61 20 152
84 91 152
46 64 153
27 45 153
42 32 153
0 41 154
16 92 154
22 14 154
97 51 155
65 9 155
1 19 155
64 0 156
0 45 156
0 25 156
85 12 156
37 79 156
13 52 156
39 35 156
11 99 156
63 95 156
89 60 157
37 88 157
16 10 157
29 81 157
9 32 157
35 94 157
80 54 157
49 46 157
32 26 157
95 67 158
10 40 158
37 70 158
16 66 158
55 88 158
17 63 158
47 40 158
8 94 159
85 60 159
44 58 159
54 14 159
55 99 159
52 34 160
72 74 160
29 55 160
40 42 160
47 59 160
47 61 160
32 42 160
34 19 161
43 87 161
2 44 161
33 60 161
46 71 161
87 50 161
87 66 161
83 84 161
63 1 161
32 99 161
91 78 162
0 42 162
33 38 162
14 33 162
46 49 162
77 43 162
6 87 162
42 44 162
44 24 163
14 19 163
87 77 163
77 13 163
40 43 163
21 55 165
70 92 165
36 53 165
10 35 165
2 5 165
19 28 165
54 57 165
13 66 165
51 14 165
58 86 166
66 45 166
2 47 166
44 17 166
25 70 166
19 81 166
87 55 166
48 69 166
48 61 166
4 1 166
17 69 166
41 33 167
36 74 167
14 66 167
87 17 167
4 90 167
29 37 167
11 65 167
47 33 167
10 90 168
10 80 168
2 54 168
85 62 168
56 90 168
4 27 168
40 14 168
22 95 168
61 70 168
43 54 169
33 86 169
25 40 169
37 99 169
60 92 169
22 77 169
84 39 169
91 65 170
97 4 170
46 35 170
29 62 170
11 3 170
47 11 170
42 20 170
12 54 171
87 86 171
29 33 171
51 61 171
49 76 171
59 82 172
59 53 172
87 24 172
57 39 172
22 34 172
22 39 172
11 41 172
32 99 172
66 65 173
85 59 173
85 4 173
72 97 173
40 94 173
61 58 173
80 17 173
42 4 173
68 51 174
99 73 174
34 23 174
66 15 174
43 63 174
59 70 174
2 35 174
56 69 174
27 86 174
87 40 174
37 82 174
16 1 174
84 73 174
8 60 175
85 54 175
85 32 175
57 0 175
20 64 175
11 12 175
80 7 175
63 83 175
32 11 175
64 18 176
43 90 176
14 45 176
27 13 176
2 94 177
29 78 177
1 43 177
73 67 177
42 70 177
70 77 178
10 69 178
10 74 178
56 53 178
87 60 178
6 40 178
50 98 179
56 31 179
57 45 179
40 41 179
92 53 180
60 56 180
13 92 180
40 92 180
49 2 180
2 36 181
5 94 181
47 90 181
8 71 182
10 91 182
57 74 182
13 34 182
4 5 182
29 76 182
9 21 182
49 44 182
28 48 183
26 80 183
2 98 183
2 94 183
27 68 183
87 84 183
55 24 183
22 98 183
11 43 183
63 10 183
63 40 183
84 45 183
47 61 183
0 91 184
12 59 184
51 59 184
20 74 184
35 54 184
1 69 184
11 35 184
49 36 184
30 13 184
26 58 185
0 60 185
87 27 185
72 16 185
40 18 185
42 59 185
26 56 186
10 79 186
2 45 186
19 37 186
39 58 186
86 88 187
99 48 187
98 57 187
13 90 187
30 66 187
30 19 187
93 27 188
75 97 188
40 27 188
73 15 188
84 59 188
49 88 188
47 94 188
34 55 189
66 81 189
85 76 189
85 72 189
15 79 189
15 88 189
57 90 189
51 31 189
55 19 189
61 36 189
49 6 189
60 44 190
54 35 190
22 5 190
47 73 190
10 78 191
60 55 191
11 30 191
49 20 191
10 44 192
5 14 192
72 11 192
37 99 192
35 47 192
36 11 193
92 86 193
44 52 193
48 58 193
61 5 193
6 5 193
37 21 194
42 46 194
28 83 195
35 22 195
1 99 195
49 55 195
30 45 195
8 24 196
66 82 196
85 68 196
15 31 196
17 11 196
83 51 196
32 27 196
71 4 197
3 43 197
25 98 197
16 78 197
16 33 197
35 69 197
6 4 197
32 34 197
36 69 198
92 1 198
44 21 198
33 72 198
27 73 198
13 62 198
77 92 198
6 21 198
6 60 198
73 49 198
84 4 198
47 79 198
42 10 198
76 12 199
86 20 199
52 91 199
14 12 199
37 27 199
9 48 199
20 55 199
61 83 199
47 79 199
42 6 199
31 10 200
34 61 200
46 34 200
1 5 200
1 61 200
6 26 200
52 18 201
37 80 201
77 67 201
61 83 201
30 74 201
6 63 202
49 3 202
30 47 202
71 65 203
36 95 203
52 47 203
33 29 203
37 91 203
13 75 203
11 82 203
49 95 203
32 76 203
32 90 203
18 62 204
12 66 204
46 64 204
46 89 204
10 2 205
34 8 205
43 90 205
12 1 205
25 13 205
19 69 205
87 70 205
48 12 205
48 94 205
57 83 205
37 87 205
30 82 205
28 29 206
2 84 206
33 13 206
14 41 206
19 10 206
60 26 206
75 50 206
4 9 206
29 13 206
55 79 206
84 47 206
32 80 206
76 18 207
8 94 207
52 51 207
59 9 207
5 13 207
54 87 207
29 5 207
42 41 207
44 46 208
25 91 208
19 78 208
39 27 208
49 23 208
30 39 208
32 35 208
0 68 209
33 14 209
14 45 209
29 92 209
9 19 209
83 64 209
22 85 209
6 91 209
8 98 210
52 26 210
2 36 210
44 42 210
27 5 210
77 68 210
22 89 210
63 3 210
92 64 211
65 53 211
46 95 211
39 98 211
6 14 211
32 61 211
72 70 212
83 64 212
1 88 212
80 32 212
42 90 212
32 31 212
12 50 213
2 90 213
75 32 213
13 0 213
13 5 213
51 57 213
20 12 213
63 42 213
8 91 214
65 33 214
2 29 214
5 43 214
72 41 214
16 90 214
20 79 214
11 48 214
8 2 215
59 1 215
39 94 215
32 65 215
27 61 216
60 6 216
54 20 216
20 35 216
11 24 216
30 73 216
85 76 217
55 10 217
84 3 217
32 99 217
18 25 218
0 48 218
12 57 218
85 8 218
72 10 218
63 70 218
47 53 218
44 1 219
13 73 219
51 61 219
77 64 219
61 8 219
85 61 220
87 18 220
60 90 220
55 46 220
6 9 220
73 66 220
73 88 220
42 56 220
24 41 221
25 49 221
54 8 221
22 56 221
11 38 221
73 18 221
30 82 221
42 72 221
0 83 222
55 13 222
32 13 222
91 96 223
87 91 223
55 79 223
77 18 223
35 73 223
6 8 223
84 95 223
30 22 223
42 21 223
60 88 224
84 30 224
85 93 225
15 65 225
72 23 225
37 3 225
61 41 225
6 65 225
6 60 225
33 62 226
15 11 226
29 89 226
77 66 226
17 63 226
80 90 226
80 67 226
8 9 227
92 65 227
54 93 227
40 89 227
61 96 227
66 52 228
5 43 228
27 28 228
57 8 228
54 35 228
4 89 228
4 94 228
29 60 228
6 38 228
36 44 229
37 83 229
39 9 229
35 51 229
34 3 230
34 8 230
46 24 230
77 57 230
64 47 231
10 26 231
59 12 231
2 69 231
44 89 231
4 46 231
20 23 231
35 3 231
6 96 231
65 75 232
33 92 232
25 4 232
46 33 232
16 92 232
77 41 232
43 79 233
48 22 233
54 94 233
84 48 234
19 15 235
56 15 235
27 97 235
87 38 235
57 52 235
43 12 236
33 60 236
27 62 236
60 8 236
54 20 236
55 87 236
17 59 236
63 23 236
49 57 236
42 66 236
19 80 237
46 45 237
20 11 237
6 2 237
73 23 237
8 56 238
44 30 238
25 39 238
19 80 238
56 45 238
87 15 238
75 24 238
40 47 238
35 22 238
32 36 238
32 33 238
48 8 239
32 73 239
48 7 240
13 27 240
1 59 240
95 84 241
0 15 241
52 77 241
44 76 241
72 10 241
51 72 241
39 99 241
48 54 242
55 75 242
20 52 242
63 33 242
3 0 243
13 71 243
40 13 243
30 80 243
42 74 243
60 43 244
60 25 244
4 49 244
80 67 244
63 20 244
81 97 245
92 28 245
2 66 245
13 82 245
51 13 245
40 20 245
17 11 245
1 97 245
42 98 245
36 71 246
34 26 246
59 36 246
87 23 246
29 43 246
40 56 246
17 98 246
30 1 246
97 70 247
10 32 247
2 51 247
25 6 247
48 29 247
16 0 247
51 68 247
51 52 247
1 80 247
50 82 248
66 28 248
33 0 248
56 7 248
4 30 248
61 46 248
8 41 249
0 24 249
59 31 249
85 14 249
9 41 249
59 50 250
87 35 250
37 52 250
34 92 251
59 46 251
4 12 251
29 87 251
55 0 251
22 19 251
32 72 251
5 45 252
17 40 252
1 90 252
6 57 252
63 30 252
0 40 253
43 30 253
19 6 253
27 71 253
57 21 253
4 80 253
22 65 253
6 19 253
3 37 254
40 45 254
40 48 254
17 87 254
22 2 254
48 61 255
16 23 255
11 95 255
30 10 255
8 85 256
10 62 256
52 81 256
2 80 256
46 15 256
55 68 256
22 94 256
30 21 256
47 43 256
34 30 257
65 46 257
2 59 257
56 20 257
60 83 257
13 17 257
77 99 257
17 31 257
73 89 257
63 5 257
84 57 257
2 74 258
42 97 258
92 12 259
66 82 259
65 59 259
44 77 259
33 51 259
55 78 259
83 42 259
32 30 259
59 36 260
5 47 260
72 9 260
70 16 261
62 22 261
57 10 261
13 20 261
83 79 261
20 99 261
1 47 261
32 69 261
0 8 262
85 47 262
99 69 263
19 10 263
77 93 263
35 53 263
85 36 264
5 52 264
83 35 264
35 47 264
73 41 264
66 36 265
25 12 265
14 91 265
27 92 265
72 47 265
16 10 265
11 37 265
61 29 265
0 45 266
75 19 266
75 56 266
39 52 266
9 65 266
11 67 266
63 78 266
34 5 267
33 1 267
14 3 267
57 21 267
29 82 267
40 52 267
9 17 267
80 38 267
52 24 268
43 84 268
65 25 268
13 63 268
39 74 268
35 18 268
86 70 269
44 58 269
29 98 269
40 46 269
52 99 270
44 34 270
32 55 270
95 36 271
36 6 271
72 17 271
37 15 271
83 39 271
3 62 272
86 48 272
0 23 272
34 58 272
33 3 272
25 56 272
14 83 272
51 35 272
77 97 272
63 24 272
93 2 273
81 93 273
52 62 273
13 87 273
6 70 273
91 32 274
92 21 274
66 25 274
2 85 274
33 84 274
14 37 274
57 2 274
77 79 274
39 57 274
34 47 275
51 99 275
6 30 275
80 34 275
73 91 275
15 16 276
54 39 276
40 52 276
1 79 276
1 84 276
6 67 276
42 4 276
87 41 277
83 55 277
20 81 277
42 49 277
32 26 277
56 88 278
72 1 278
37 74 278
9 70 278
58 23 279
34 89 279
39 17 279
83 30 279
47 23 279
10 16 280
43 11 280
77 41 280
80 3 280
73 52 280
47 57 280
68 11 281
26 9 281
25 36 281
51 73 281
39 94 281
22 41 281
22 44 282
30 69 282
36 47 283
12 15 283
2 32 283
48 51 283
39 15 283
9 25 283
22 11 283
47 18 283
2 63 284
13 87 284
77 21 284
63 4 284
12 99 285
44 66 285
5 89 285
87 3 285
57 40 285
75 60 285
22 98 285
61 92 285
73 50 285
73 80 285
84 16 285
34 83 286
47 1 286
44 29 287
14 99 287
72 32 287
57 4 287
29 75 287
10 91 288
85 64 288
56 33 288
75 23 288
29 13 288
51 84 288
77 41 288
80 38 288
26 99 289
52 20 289
66 75 289
44 18 289
25 60 289
15 78 289
57 91 289
47 78 289
89 81 290
43 51 290
43 42 290
15 7 290
48 27 290
72 61 290
40 20 290
17 27 290
17 4 290
32 44 290
0 5 291
59 15 291
19 48 291
51 36 291
35 8 291
11 67 291
61 83 291
63 41 291
12 7 292
44 41 292
72 3 292
54 37 292
54 61 292
13 91 292
4 12 292
61 57 292
68 58 293
64 32 293
85 63 293
56 35 293
5 3 293
48 19 293
77 36 293
35 31 293
22 44 293
11 57 293
80 41 293
12 98 294
19 83 294
72 51 294
4 20 294
51 50 294
20 3 294
65 30 295
15 52 295
87 49 295
34 58 296
75 44 296
29 1 296
11 96 296
80 71 296
84 30 296
2 58 297
54 28 297
22 69 297
32 1 297
59 19 298
48 27 298
16 13 298
77 64 298
17 22 298
6 34 298
84 9 298
42 36 298
68 90 299
66 59 299
65 97 299
57 82 299
4 79 299
29 75 299
66 40 300
43 45 300
43 75 300
56 73 300
80 45 300
28 29 301
27 47 301
57 59 301
13 85 301
84 97 301
92 86 302
65 54 302
15 97 302
60 64 302
54 68 302
29 91 302
55 48 302
73 37 302
30 77 302
92 64 303
12 57 303
46 98 303
75 85 303
16 96 303
4 97 303
29 99 303
35 30 303
11 73 303
45 64 304
10 93 304
66 36 304
87 0 304
54 19 304
49 24 304
98 95 305
43 48 305
33 98 305
46 94 305
60 59 305
16 48 305
51 88 305
55 8 305
0 58 306
2 29 306
46 50 306
40 6 306
17 18 306
61 81 306
84 0 306
31 99 307
54 93 307
29 14 307
55 45 307
83 3 307
63 20 307
59 74 308
2 11 308
85 91 308
85 94 308
44 87 308
87 67 308
72 34 308
39 69 308
83 67 308
11 93 308
8 36 309
15 48 309
77 95 309
20 35 309
8 35 310
34 82 310
66 77 310
65 60 310
44 26 310
29 72 310
77 79 310
95 36 311
33 74 311
33 31 311
14 35 311
51 82 311
1 8 311
93 67 312
10 42 312
34 48 312
33 50 312
33 84 312
25 16 312
16 99 312
55 82 312
77 39 312
61 60 312
30 8 312
26 59 313
56 28 313
17 78 313
22 86 313
95 53 314
72 54 314
4 99 314
55 54 314
39 65 314
22 59 314
61 33 314
73 20 314
19 65 315
48 28 315
37 70 315
6 97 315
80 68 315
49 47 315
92 10 316
12 69 316
51 68 316
61 77 316
80 72 316
73 7 316
92 62 317
56 28 317
5 57 317
72 55 317
57 49 317
40 51 317
8 63 318
10 97 318
19 55 318
87 48 318
89 70 319
2 33 319
33 48 319
57 25 319
17 32 319
35 69 319
80 21 319
63 73 319
92 17 320
52 65 320
12 91 320
25 28 320
57 74 320
77 17 320
17 71 320
17 10 320
17 60 320
20 18 320
20 6 320
52 29 321
85 86 321
27 16 321
17 69 321
39 83 321
61 25 321
43 60 322
65 47 322
51 31 322
51 26 322
51 94 322
51 6 322
17 29 322
83 45 322
80 62 322
84 68 322
0 52 323
66 40 323
44 31 323
25 90 323
56 62 323
16 20 323
40 1 323
39 14 323
39 19 323
83 76 323
2 21 324
25 83 324
19 2 324
56 45 324
46 54 324
57 43 324
13 39 324
20 93 324
36 80 325
92 5 325
52 59 325
43 21 325
16 4 325
63 18 325
44 67 326
56 39 326
13 46 326
73 42 326
42 31 326
42 41 326
75 9 327
13 70 327
16 13 327
4 68 327
29 19 327
55 85 327
84 55 327
43 26 328
85 97 328
14 8 328
15 68 328
46 40 328
27 43 328
51 9 328
40 62 328
39 36 328
32 11 328
8 89 329
10 5 329
52 57 329
57 77 329
37 81 329
52 8 330
43 15 330
59 97 330
44 42 330
15 62 330
57 79 330
16 22 330
1 91 330
36 54 331
0 22 331
92 29 331
27 95 331
51 72 331
55 58 331
1 7 331
22 59 331
84 7 331
42 44 331
2 65 332
85 88 332
51 86 332
22 78 332
63 94 332
64 28 333
34 98 333
52 36 333
52 57 333
85 38 333
60 49 333
75 19 333
22 9 333
84 79 333
8 6 334
59 31 334
59 17 334
29 47 334
73 76 334
42 95 334
41 4 335
52 73 335
33 77 335
33 6 335
19 24 335
60 15 335
16 69 335
77 78 335
77 15 335
83 9 335
35 41 335
1 27 335
42 62 335
60 70 336
13 27 336
35 92 336
1 7 336
61 21 336
32 33 336
10 16 337
34 4 337
85 55 337
15 19 337
16 83 337
1 97 337
73 82 337
22 46 338
73 71 338
30 91 338
32 46 338
45 11 339
34 93 339
43 78 339
43 11 339
59 46 339
46 48 339
87 79 339
4 44 339
83 7 339
13 26 340
29 97 340
29 25 340
92 29 341
34 95 341
85 51 341
44 74 341
77 53 341
9 26 341
38 43 342
15 32 342
55 76 342
83 99 342
11 81 342
6 3 342
70 92 343
44 5 343
56 97 343
15 71 343
48 67 343
75 38 343
54 26 343
20 60 343
73 32 343
30 46 343
47 89 343
32 36 343
8 98 344
52 99 344
15 82 344
37 36 344
42 1 344
8 76 345
12 40 345
33 71 345
19 80 345
55 56 345
39 81 345
36 99 346
10 65 346
15 30 346
87 40 346
48 77 346
54 62 346
55 39 346
35 63 346
47 19 346
4 2 347
17 84 347
83 6 347
83 42 347
80 97 347
86 9 348
36 89 348
92 53 348
85 9 348
44 85 348
27 90 348
87 73 348
48 45 348
83 36 348
63 73 348
32 72 348
71 28 349
60 79 349
40 25 349
25 26 350
87 51 350
48 75 350
77 88 350
47 84 350
26 85 351
33 13 351
46 5 351
57 79 351
60 48 351
6 21 351
12 78 352
60 23 352
13 22 352
77 1 352
9 38 352
1 14 352
1 54 352
1 11 352
0 16 353
12 19 353
2 19 353
85 9 353
46 74 353
60 35 353
75 64 353
83 97 353
49 0 353
12 39 354
59 57 354
33 27 354
19 75 354
72 0 354
75 0 354
75 67 354
13 94 354
66 73 355
2 96 355
2 50 355
85 15 355
14 44 355
87 57 355
55 65 355
40 44 355
61 12 355
36 60 356
92 33 356
44 36 356
33 77 356
14 49 356
20 9 356
22 24 356
97 22 357
8 30 357
0 96 357
33 41 357
51 5 357
55 8 357
22 27 357
6 13 357
2 19 358
39 64 358
30 91 358
42 51 358
66 18 359
48 46 359
40 33 359
47 89 359
56 57 360
77 58 360
77 8 360
17 24 360
1 94 360
11 92 360
63 37 360
18 73 361
99 56 361
52 74 361
12 61 361
65 2 361
44 79 361
55 87 361
35 63 361
30 38 361
32 77 361
0 22 362
25 59 362
51 64 362
51 14 362
77 9 362
63 94 362
8 79 363
33 14 363
15 84 363
72 2 363
39 81 363
83 82 363
35 10 363
10 64 364
43 57 364
44 0 364
25 67 364
47 40 364
66 39 365
44 93 365
56 38 365
51 85 365
39 8 365
